trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,41261.38360000914,4303.775599983055,True,without,0.0,28,book,kitabu,without,0.0,0.3
2,48754.57600000664,2918.4788999846205,False,without,0.5,46,dollar,dola,without,0.5,0.3
3,52840.79270000802,2474.1000999929383,True,without,0.5,28,book,kitabu,without,0.5,0.3
4,58507.597299991176,1463.6830000090413,True,without,0.7310585786300049,46,dollar,dola,without,0.7310585786300049,0.3
5,63902.26140001323,5055.62669999199,True,without,0.5,86,drum,ngoma,without,0.5,0.3
6,72203.45130001078,2669.2110000003595,True,without,0.5,91,chicken,kuku,without,0.5,0.3
7,77030.8750999975,1683.2944999914616,False,without,0.5,86,drum,ngoma,without,0.5,0.3
8,82607.09169998881,1223.1471000122838,True,without,0.7310585786300049,91,chicken,kuku,without,0.7310585786300049,0.3
9,86059.32830000529,2320.8205999981146,True,without,0.8807970779778823,21,fire,moto,without,0.8807970779778823,0.3
10,90843.54329999769,3300.2837999956682,True,without,0.8807970779778823,32,plane,ndege,without,0.8807970779778823,0.3
11,96459.16410000063,2426.9676000112668,True,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.3
12,101154.50150001561,4365.6008999969345,False,without,0.8807970779778823,32,plane,ndege,without,0.8807970779778823,0.3
13,106576.0675999918,1698.5446000180673,False,without,0.7310585786300049,21,fire,moto,without,0.7310585786300049,0.3
14,111700.8601000125,3364.7307999781333,False,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.3
15,118686.40639999649,4871.797300002072,False,without,0.7310585786300049,28,book,kitabu,without,0.7310585786300049,0.349609375
16,124613.17220001365,1444.1127000027336,True,without,0.5,46,dollar,dola,without,0.5,0.250390625
17,128346.93020000122,2205.482999997912,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.349609375
18,133011.32660001167,1023.2303999946453,True,without,0.5,91,chicken,kuku,without,0.5,0.250390625
19,136144.96939998935,2276.11840001191,True,without,0.7310585786300049,95,gift,zawadi,without,0.7310585786300049,0.3
20,141353.80519999308,4020.758600003319,True,without,0.7310585786300049,87,trumpet,tarumbeta,without,0.7310585786300049,0.3
21,148261.81029999861,2361.868800013326,True,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.3
22,153306.88419999206,6070.53409999935,False,without,0.7310585786300049,32,plane,ndege,without,0.7310585786300049,0.349609375
23,160433.3992000029,1895.8200000051875,False,without,0.5,38,window,dirisha,without,0.5,0.3
24,165144.85010001226,2232.6990999863483,False,without,0.2689414213699951,95,gift,zawadi,without,0.2689414213699951,0.3
25,169993.46910000895,2273.713999980828,False,without,0.5,87,trumpet,tarumbeta,without,0.5,0.3
26,175310.84280001232,2621.412099979352,False,without,0.7310585786300049,28,book,kitabu,without,0.7310585786300049,0.39921874999999996
27,180374.12640001276,1905.9530999802519,False,without,0.5,21,fire,moto,without,0.5,0.349609375
28,185508.88559999294,1811.2160000018775,False,without,0.7310585786300049,86,drum,ngoma,without,0.7310585786300049,0.39921874999999996
29,189540.85300001316,1763.0989000026602,False,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.349609375
30,192358.94830001052,2040.8121999935247,True,without,0.7310585786300049,71,shoe,kiatu,without,0.7310585786300049,0.3
31,196889.2033000011,1970.4787000082433,True,without,0.7310585786300049,32,plane,ndege,without,0.7310585786300049,0.34921875
32,201077.90010000463,1621.0336000076495,True,without,0.8807970779778823,28,book,kitabu,without,0.8807970779778823,0.398828125
33,205305.36210001446,1724.4995999790262,True,without,0.9525741268224334,52,giraffe,twiga,without,0.9525741268224334,0.3
34,210044.3814000173,2876.8058999849018,False,without,0.9525741268224334,38,window,dirisha,without,0.9525741268224334,0.349609375
35,216423.31209999975,2578.8465999939945,False,without,0.8807970779778823,52,giraffe,twiga,without,0.8807970779778823,0.3
36,220057.3313999921,2045.4557000193745,True,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.3
37,225727.62220000732,6176.543999987189,True,without,0.7310585786300049,77,rake,reki,without,0.7310585786300049,0.39921874999999996
38,233958.76480001607,1581.5827999904286,False,without,0.8807970779778823,20,snow,theluji,without,0.8807970779778823,0.3
39,236596.4185000048,3417.955000011716,False,without,0.7310585786300049,61,lightning,umeme,without,0.7310585786300049,0.3
40,241074.87680000486,2079.7205999842845,True,without,0.7310585786300049,16,moon,mwezi,without,0.7310585786300049,0.3
41,245454.72529999097,1893.4124000079464,True,without,0.7310585786300049,61,lightning,umeme,without,0.7310585786300049,0.3
42,249493.81819998962,1601.1476000130642,False,without,0.8807970779778823,71,shoe,kiatu,without,0.8807970779778823,0.3
43,253668.70909999125,1626.2148000241723,False,without,0.9525741268224334,16,moon,mwezi,without,0.9525741268224334,0.3
44,256350.1462000131,2247.9099000047427,False,without,0.8807970779778823,38,window,dirisha,without,0.8807970779778823,0.39921874999999996
45,259652.9867000063,1738.616299990099,False,without,0.7310585786300049,86,drum,ngoma,without,0.7310585786300049,0.4488281249999999
46,264493.68569999933,2394.845800008625,True,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.394921875
47,268623.7128000066,2337.397900002543,False,without,0.9525741268224334,28,book,kitabu,without,0.9525741268224334,0.40546874999999993
48,273779.56450000056,2299.7508000116795,False,without,0.8807970779778823,52,giraffe,twiga,without,0.8807970779778823,0.349609375
49,278549.35010001645,1620.7633999874815,False,without,0.7310585786300049,59,tea,chai,without,0.7310585786300049,0.3
50,281227.92790000676,2513.1750000000466,True,without,0.7310585786300049,34,money,fedha,without,0.7310585786300049,0.3
51,285565.4445000109,947.4339000007603,True,without,0.7310585786300049,59,tea,chai,without,0.7310585786300049,0.3
52,288557.34910001047,1788.9431999938097,True,without,0.8807970779778823,34,money,fedha,without,0.8807970779778823,0.3
53,292165.7019999984,1932.4618999962695,False,without,0.9525741268224334,38,window,dirisha,without,0.9525741268224334,0.4488281249999999
54,296251.92320000497,4992.080600000918,False,without,0.8807970779778823,20,snow,theluji,without,0.8807970779778823,0.349609375
55,302299.5355000021,1358.440400013933,False,without,0.7310585786300049,32,plane,ndege,without,0.7310585786300049,0.398828125
56,304713.1039999949,2982.212900009472,False,without,0.5,21,fire,moto,without,0.5,0.39374999999999993
57,308840.33700000145,1261.398000002373,True,without,0.7310585786300049,61,lightning,umeme,without,0.7310585786300049,0.250390625
58,311831.28909999505,1953.0392000160646,False,without,0.8807970779778823,16,moon,mwezi,without,0.8807970779778823,0.349609375
59,326990.498500003,10763.57700000517,False,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.4742187499999999
60,339778.8839999994,2091.976399999112,False,without,0.5,52,giraffe,twiga,without,0.5,0.39921874999999996
61,342929.09049999435,1890.0426000182051,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.4546874999999999
62,352984.2796000012,inf,True,without,0.5,59,tea,chai,without,0.5,0.349609375
63,360197.8292000131,2293.9748999779113,True,without,0.7310585786300049,34,money,fedha,without,0.7310585786300049,0.26054687500000007
64,368297.87149999174,1906.5913000085857,False,without,0.8807970779778823,38,window,dirisha,without,0.8807970779778823,0.49882812499999996
65,372242.166800017,1448.9403999759816,False,without,0.7310585786300049,95,gift,zawadi,without,0.7310585786300049,0.32539062499999993
66,374822.38810000126,1960.3618000110146,False,without,0.8807970779778823,32,plane,ndege,without,0.8807970779778823,0.43437499999999996
67,377843.82129998994,1031.8592000112403,False,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.39921874999999996
68,379930.87440001545,1241.4768999733496,False,without,0.5,87,trumpet,tarumbeta,without,0.5,0.32539062499999993
69,382279.3399000075,5278.620700002648,False,without,0.7310585786300049,77,rake,reki,without,0.7310585786300049,0.44453124999999993
70,389612.331500015,inf,True,without,0.5,21,fire,moto,without,0.5,0.3941406249999999
71,396308.1921999983,inf,False,without,0.2689414213699951,71,shoe,kiatu,without,0.2689414213699951,0.33710937499999993
72,402944.2119000014,1649.708400014788,False,without,0.5,52,giraffe,twiga,without,0.5,0.4371093749999999
73,406228.4645999898,2524.423900002148,False,without,0.2689414213699951,16,moon,mwezi,without,0.2689414213699951,0.39921874999999996
