trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
1,32441.834900004324,5379.562499991152,True,without,0.0,78,scissors,mkasi,without,0.0,0.3
2,54827.49100000365,2209.779400000116,True,with,0.5,17,sea,bahari,with,0.5,0.3
3,62113.65350001142,1343.6869999859482,True,with,0.5,17,sea,bahari,with,0.5,0.3
4,66031.18489999906,2802.657599997474,True,with,0.7310585786300049,70,skirt,sketi,with,0.7310585786300049,0.3
5,71874.17090000235,4351.985399989644,True,without,0.7310585786300049,78,scissors,mkasi,without,0.7310585786300049,0.3
6,78467.79080000124,3914.9584000115283,True,without,0.5,20,snow,theluji,without,0.5,0.3
7,92665.84190001595,1671.879799978342,True,without,0.5,20,snow,theluji,without,0.5,0.3
8,99991.50259999442,1709.5633000135422,False,with,0.2689414213699951,70,skirt,sketi,with,0.2689414213699951,0.3
9,105342.20549999736,2371.841999993194,True,with,0.8807970779778823,30,ship,meli,with,0.8807970779778823,0.3
10,109484.2997000087,1808.2123000058345,False,with,0.8807970779778823,17,sea,bahari,with,0.8807970779778823,0.349609375
11,113355.07089999737,1848.832100018626,True,without,0.04742587317756678,24,house,nyumba,without,0.04742587317756678,0.3
12,122480.84810000728,6484.750900010113,True,without,0.04742587317756678,78,scissors,mkasi,without,0.04742587317756678,0.344140625
13,131332.6989999914,14148.682900005952,False,without,0.01798620996209156,24,house,nyumba,without,0.01798620996209156,0.3
14,146734.45409999113,1499.980599997798,True,with,0.04742587317756678,30,ship,meli,with,0.04742587317756678,0.3
15,150052.81990001095,2753.7063999916427,True,with,0.8807970779778823,17,sea,bahari,with,0.8807970779778823,0.39453125
16,155574.8309000046,4036.9043000100646,False,without,0.2689414213699951,20,snow,theluji,without,0.2689414213699951,0.349609375
17,163288.8276000158,16059.913099976256,True,with,0.5,70,skirt,sketi,with,0.5,0.349609375
18,188600.6818000169,1518.5529999725986,True,with,0.7310585786300049,17,sea,bahari,with,0.7310585786300049,0.39335937499999996
19,192082.53429998877,2410.3936000028625,True,with,0.8807970779778823,4,bird,ndege,with,0.8807970779778823,0.3
